Grapheme	IPA
n	n
ɨ	ɨ
h	h
-	+
kʷ	kʷ
g	g
d	d
u	u
k	k
a	a
í	!í/i
ʔ	ʔ
ʲ	ʲ
ɯ	ɯ
ɯ́	!ɯ́/ɯ
ɨ́	!ɨ́/ɨ
i	i
p	p
á	á
tʰ	tʰ
t	t
s	s
o	o
ʧ	tʃ
m	m
e	e
ɲ	ɲ
é	!é/e
ó	!ó/o
ú	!ú/u
ʦ	ts
β	β
j	j
r	r
b	b
ʤ	dʒ
()	!V/a
nɨ()-	n ɨ !C/x !V/ɯ
()o()i	!C/m o !C/n i
pai()u	p a i !C/k u
()ɨɨri	!C/β ɨ ɨ r i
ka()a()a	k a !C/tt a !C/β a
ba(i)(k)ko	b a !V/i !C/k k o
-()-nih()kk()	!C/g !V/a n i h
hɨɨ()ai	h ɨ ɨ !C/β a i
mɨʔ()ɨ	m ɨ ʔ !C/d ɨ
pai()u	p a i !C/k u
ga()er	g a !C/tʃ e r
-ɨ()ɨ-	ɨ !C/k ɨ
aak()()o	a a k !V/i !C/tt o
ká()()()	k !á/a !C/β !V/ɯ !V/i
pítá()	p !í/i t !á/a !C/ʔ !V/a
ái()ɨme	!á/a i !C/tʃ ɨ m e
hɨ()aʔʦ	h ɨ !C/β a ʔ ts
ʤɨɨ()a	dʒ ɨ ɨ !C/β a
pi(k)ka	p i !C/k k a
-(ʔ)o-	!C/ʔ o
