ID	DOCULECT	FORM	CONCEPT	COGID	MORPHEMES	NOTE	PROTOSET	PROTOFORM	APBM	BASICVOCABULARY
46	PBoM	nokkɨ-gai	ARM  	16			19	*nokkɨ-gai	*(mé)-nékkɯ-gai	Leipzig-Jakarta
47	Bora	néhhɯ-kʷa 	ARM  	16	side-cl:plank		19	*nokkɨ-gai		Leipzig-Jakarta
48	Muinane	nókkɨ-gai 	ARM  	16			19	*nokkɨ-gai		Leipzig-Jakarta
49	PBoM	()o()i	ELBOW 	17			21	*()o()i	(méniko), (me-némiɯ)	
50	Bora	némi-ɯ 	ELBOW 	17	?-cl:round		21	*()o()i		
51	Muinane	méni-ku 	ELBOW 	17	?-cl:pointed 		21	*()o()i		
52	PBoM	ʔutʦe	HAND  	18			22	*ʔutʦe	*(mé)-ʔótʦɨɨ́	Swadesh
53	Bora	ʔóhʦʰɨɨ́	HAND  	18			22	*ʔutʦe		Swadesh
54	Muinane	úse 	HAND  	18			22	*ʔutʦe		Swadesh
55	PBoM	ʔutʦe-gai	FINGER 	19			23	*ʔutʦe-gai	*(mé)-ʔótʦɨ-gai {hand-finger,4,(11?),19,24,30,50,87}	
56	Bora	ʔóhʦʰɨ-kʷa 	FINGER 	19	hand-cl:plank		23	*ʔutʦe-gai		
57	Muinane	úse-gai 	FINGER 	19			23	*ʔutʦe-gai		
58	PBoM	ʔutʦe-gai-meeʔu	FINGERNAIL 	20			24	*ʔutʦe-gai-meeʔu	*(mé)- ʔótʦɨ-gai-mɨ́ɨʔo	
59	Bora	ʔóhʦʰɨ-kʷa-mɨ́ɨ́ʔo 	FINGERNAIL 	20	hand-cl:plank-cl:skin		24	*ʔutʦe-gai-meeʔu		
60	Muinane	úse-gai-méeʔu 	FINGERNAIL 	20			24	*ʔutʦe-gai-meeʔu		
61	PBoM	memu	KNEE  	21			27	*memu	*(mé)-mɨ́mo-()	Leipzig-Jakarta, Swadesh
62	Bora	mɨ́mo-kʰo 	KNEE  	21	knee-cl:pointed		27	*memu		Leipzig-Jakarta, Swadesh
63	Muinane	mému-ba 	KNEE  	21	knee-cl 		27	*memu		Leipzig-Jakarta, Swadesh
64	PBoM	ttɨʔaai	FOOT  	22			29	*ttɨʔaai	*(mé)-ttɯ́-ʔaáí	Swadesh
65	Bora	htʰɯ́-ʔaá	FOOT  	22			29	*ttɨʔaai		Swadesh
66	Muinane	tɨ́-ʔai 	FOOT  	22			29	*ttɨʔaai		Swadesh
67	PBoM	ttɨ-gaai	TOE 	23			30	*ttɨ-gaai	*(mé)-ttɯ́-gaái {foot-finger,23}	
68	Bora	htʰɯ́-kʷaá 	TOE 	23	foot-cl:plank		30	*ttɨ-gaai		
69	Muinane	tɨ́-gai 	TOE 	23			30	*ttɨ-gaai		
70	PBoM	meeʔo	SKIN  	24			31	*meeʔo	*(iáábe) (mé)-ʔmɨ́ɨʔe(é)	Leipzig-Jakarta, Swadesh
71	Bora	mɨ́ɨ́ʔeé	SKIN  	24			31	*meeʔo		Leipzig-Jakarta, Swadesh
72	Muinane	méeʔe 	SKIN  	24			31	*meeʔo		Leipzig-Jakarta, Swadesh
73	PBoM	bakkɨ	BONE  	25			32	*bakkɨ	*bákkɯɯ́	Leipzig-Jakarta, Swadesh
74	Bora	páhkʰɯɯ́	BONE  	25			32	*bakkɨ		Leipzig-Jakarta, Swadesh
75	Muinane	bákkɨ 	BONE  	25			32	*bakkɨ		Leipzig-Jakarta, Swadesh
76	PBoM	tɨɨ	BLOOD  	26			33	*tɨɨ	*tɯ́ɯ́-(xéʔe), *tɯ́ɯ́-(ppaiko)	Leipzig-Jakarta, Swadesh
77	Bora	tʰɯ́-hpʰakʰʲo 	BLOOD  	26	red-cl:liquid		33	*tɨɨ		Leipzig-Jakarta, Swadesh
78	Muinane	tɨ́ɨ́-hóʔo 	BLOOD  	26	red-cl? 		33	*tɨɨ		Leipzig-Jakarta, Swadesh
79	PBoM	heebɨ-ɨ	HEART  	27			34	*heebɨ-ɨ	*(kɯ́ɯdɯɯ), *(mé)-xɨ́ɨbɯɯ	Swadesh
80	Bora	ɨ́ɨ́pɯ-ɯ 	HEART  	27	interior-cl:round		34	*heebɨ-ɨ		Swadesh
81	Muinane	héebɨ-ɨ 	HEART  	27			34	*heebɨ-ɨ		Swadesh
82	PBoM	βaβa-ga	LUNGS 	28			35	*βaβa-ga	*βááʔβága, (xɯ́-giʦɯ-ba), (maráʔ-ba), (marááʔ-o)	
83	Bora	βaʔβá-kʷa 	LUNGS 	28	?-cl:plank		35	*βaβa-ga		
84	Muinane	βáaβa-ga 	LUNGS 	28			35	*βaβa-ga		
85	PBoM	m()a-mɨnaa-ppi	MAN  	29			38	*m()a-mɨnaa-ppi	*gai-ppi, *mɨ́ámɯ́náa-ppi {41}	Swadesh
86	Bora	mɨ́a-mɯ́náa-hpʰi 	MAN  	29	real-people-masc.sg		38	*m()a-mɨnaa-ppi		Swadesh
87	Muinane	míjá-mɨnaa-ɸi 	MAN  	29			38	*m()a-mɨnaa-ppi		Swadesh
88	PBoM	gai-ppi	MAN 	30			39	*gai-ppi	*gai-ppi, *ʦaa-ppi {one-male}	
89	Bora	kʷa-hpʰi 	MAN 	30	?-masc.sg		39	*gai-ppi		
90	Muinane	gáí-ɸi 	MAN 	30			39	*gai-ppi		
91	PBoM	gai-go	WOMAN  	31			40	*gai-go	*gai-ge, (mɨ́ámɯ́ná-ge) {41}	Swadesh
92	Bora	kʷa-ʧe 	WOMAN  	31	?-fem.sg		40	*gai-go		Swadesh
93	Muinane	gáí-go 	WOMAN  	31			40	*gai-go		Swadesh
94	PBoM	mia-mɨnaa	PEOPLE 	32			41	*mia-mɨnaa	*mɨ́amɯ́naa {38,40}	
95	Bora	mɨ́a-mɯ́naa 	PEOPLE 	32	real-people		41	*mia-mɨnaa		
96	Muinane	míjá-mɨnaa 	PEOPLE 	32			41	*mia-mɨnaa		
97	PBoM	tahe	HUSBAND 	33			42	*tahe	*taxɨ, *áí-táxɨɨ́ {my-husband}, *áíxɯɯ́	
98	Bora	tʰahɨ	HUSBAND 	33			42	*tahe		
99	Muinane	táhe 	HUSBAND 	33			42	*tahe		
100	PBoM	taaba	WIFE 	34			43	*taaba	*taába, *ái-táabaá {my wife}, (mega)	
101	Bora	tʰaápa	WIFE 	34			43	*taaba		
102	Muinane	táaba 	WIFE 	34			43	*taaba		
103	PBoM	giʔiru,kaani	FATHER 	35			44	*giʔiru,kaani	*giʔí-ro(bi), (kááni)	
104	Bora	ʧiʔíjo, kʰaani	FATHER 	35			44	*giʔiru,kaani		
105	Muinane	gíʔírubi, kááni 	FATHER 	35			44	*giʔiru,kaani		
106	PBoM	gaʔa-ro,ʦeehɨ	MOTHER 	36			45	*gaʔa-ro,*ʦeehɨ	*gaʔá-ro(bi)	
107	Bora	kʷaʔáro, ʦʰɨ́ɨ́hɯ	MOTHER 	36			45	*gaʔa-ro,*ʦeehɨ		
108	Muinane	gáʔárubi, sééhɨ 	MOTHER 	36			45	*gaʔa-ro,*ʦeehɨ		
109	PBoM	ʦeemono	BABY,INFANT 	37			46	*ʦeemono	*ʦɨ́ɨmene {327}	
110	Bora	ʦʰɨ́ɨ́mene	BABY,INFANT 	37			46	*ʦeemono		
111	Muinane	séemene 	BABY,INFANT 	37			46	*ʦeemono		
112	PBoM	amia	OLD MAN 	38			47	*amia	(ámia-te), (kíǰaʔote), (keéme) {246,347}	
113	Bora	amíaa-be 	OLD MAN 	38	elder-masc.sg		47	*amia		
114	Muinane	ámijaa-bo 	OLD MAN 	38			47	*amia		
115	PBoM	nɨ-ppai()u	WATER  	39			48	*nɨ-ppai()u	*nɯ́-ppaiko {water-liquid}	Leipzig-Jakarta, Swadesh
116	Bora	nɯ́-hpʰakʰʲo 	WATER  	39	water-cl:liquid		48	*nɨ-ppai()u		Leipzig-Jakarta, Swadesh
117	Muinane	nɨ́-ɸáíʔu 	WATER  	39			48	*nɨ-ppai()u		Leipzig-Jakarta, Swadesh
118	PBoM	too-ʔi,muuai	RIVER 	40			49	*too-ʔi,*muuai	*moóai {311}, *teé-ʔi {river-line,250,71}	
119	Bora	tʰeé-ʔi 	RIVER 	40	river-cl, moóa		49	*too-ʔi,*muuai		
120	Muinane	téé-ʔi, múúai 	RIVER 	40		Note: see 71,250,311,379 	49	*too-ʔi,*muuai		
121	PBoM	kaaha	SWAMP 	41			52	*kaaha	*(ipá)-káa-xa-(neba), *káa-(mɨ)	
122	Bora	kʰááhá-nepa	SWAMP 	41			52	*kaaha		
123	Muinane	íɸá-káaha 	SWAMP 	41			52	*kaaha		
124	PBoM	kɨɨhɨ-gai	FIRE  	42			56	*kɨɨhɨ-gai	*kɯ́ɯ́xɯ-gai, (koʦííbai)	Leipzig-Jakarta, Swadesh
125	Bora	kʰɯ́ɯ́hɯ-kʷa 	FIRE  	42	fire?-cl		56	*kɨɨhɨ-gai		Leipzig-Jakarta, Swadesh
126	Muinane	kɨ́ɨhɨ-gai 	FIRE  	42			56	*kɨɨhɨ-gai		Leipzig-Jakarta, Swadesh
127	PBoM	bai-giihɨ	ASH  	43			57	*bai-giihɨ	*báí-giíxɯ {?-powder,372}	Leipzig-Jakarta, Swadesh
128	Bora	pá-ʧiíhʲɯ 	ASH  	43	?-powder		57	*bai-giihɨ		Leipzig-Jakarta, Swadesh
129	Muinane	bai-gííhɨ 	ASH  	43		Note: see 372 	57	*bai-giihɨ		Leipzig-Jakarta, Swadesh
130	PBoM	kɨɨhɨgai-	CHARCOAL 	44			58	*kɨɨhɨgai-	*kɯ́ɯ́xɯ́-gai-(kko) {56}	
131	Bora	kʰɯ́ɯ́hɯ́kʷa-jɯ 	CHARCOAL 	44	fire-cl:round		58	*kɨɨhɨgai-		
132	Muinane	kɨ́ɨ́hɨgai-kku 	CHARCOAL 	44	fire-cl:pointed 	Note = 56 	58	*kɨɨhɨgai-		
133	PBoM	kuu	FIREWOOD 	45			60	*kuu	*koó-	
134	Bora	kʰoo	FIREWOOD 	45			60	*kuu		
135	Muinane	kúúhoʔo 	FIREWOOD 	45			60	*kuu		
136	PBoM	nikko-he	SKY 	46			61	*nikko-he	*níkke-xɨ {sky-flat,14} (íéβeʔóóga)	
137	Bora	níhkʰʲe-hɨ 	SKY 	46	sky-cl:disc		61	*nikko-he		
138	Muinane	níkke-he 	SKY 	46			61	*nikko-he		
139	PBoM	niiha-ba	RAIN  	47			62	*niiha-ba	*nííxa-ba {water-?,48}	Leipzig-Jakarta, Swadesh
140	Bora	nííhʲa-pa 	RAIN  	47	rain-cl		62	*niiha-ba		Leipzig-Jakarta, Swadesh
141	Muinane	nííha-ba 	RAIN  	47			62	*niiha-ba		Leipzig-Jakarta, Swadesh
142	PBoM	nɨʔba	SUN  	48			64	*nɨʔba	*kóoxɨ́-e(ppi) nɯʔɯ-ba {day-? sun-?, 67,65}	Swadesh
143	Bora	nɯʔpa	SUN  	48			64	*nɨʔba		Swadesh
144	Muinane	nɨ́ʔɨba 	SUN  	48		Note =65 	64	*nɨʔba		Swadesh
145	PBoM	nɨʔba	MOON  	49			65	*nɨʔba	*pékkó-e(ppi) nɯʔɯ-ba {night-? sun-?, 68,64}	Swadesh
146	Bora	nɯʔpa	MOON  	49			65	*nɨʔba		Swadesh
147	Muinane	nɨ́ʔɨba 	MOON  	49		Note =64 	65	*nɨʔba		Swadesh
148	PBoM	meekɨrɨ-gai	STAR  	50			66	*meekɨrɨ-gai	*mɨ́ɨ́kɯ́rɯ-gai	Leipzig-Jakarta, Swadesh
149	Bora	mɨ́ɨ́kʰɯ́rɯ-kʷa 	STAR  	50	star-cl:plank		66	*meekɨrɨ-gai		Leipzig-Jakarta, Swadesh
150	Muinane	méékɨrɨ-gai 	STAR  	50			66	*meekɨrɨ-gai		Leipzig-Jakarta, Swadesh
151	PBoM	kuuhe	DAY 	51			67	*kuuhe	*kóoxɨɨ́	
152	Bora	kʰóóhɨɨ́ 	DAY 	51	today		67	*kuuhe		
153	Muinane	kúuhe 	DAY 	51	today 		67	*kuuhe		
154	PBoM	pokku	NIGHT  	52			68	*pokku	*pekko	Leipzig-Jakarta, Swadesh
155	Bora	pʰehkʰo	NIGHT  	52			68	*pokku		Leipzig-Jakarta, Swadesh
156	Muinane	ɸúkku 	NIGHT  	52			68	*pokku		Leipzig-Jakarta, Swadesh
157	PBoM	ʦiʦʦi	THUNDER 	53			69	*ʦiʦʦi	*()ʦitʦi, (daʔnáʔo)	
158	Bora	ʧʰihʧʰi	THUNDER 	53			69	*ʦiʦʦi		
159	Muinane	sísi 	THUNDER 	53			69	*ʦiʦʦi		
160	PBoM	tɨɨ-ʔi	RAINBOW 	54			71	*tɨɨ-ʔi	*tɯɯ́-ʔi {red-line,294,49,250}	
161	Bora	tʰɯɯ́-ʔi 	RAINBOW 	54	red-cl:line		71	*tɨɨ-ʔi		
162	Muinane	tɨ́ɨ-ʔi 	RAINBOW 	54			71	*tɨɨ-ʔi		
163	PBoM	hiinɨ-he	EARTH  	55			72	*hiinɨ-he	*xíínɯ-xɨ	Swadesh
164	Bora	ííɲɯhɨ 	EARTH  	55	earth-cl:flat		72	*hiinɨ-he		Swadesh
165	Muinane	híínɨ-he 	EARTH  	55			72	*hiinɨ-he		Swadesh
166	PBoM	n()gai-jɨʔai	SAND  	56			74	*n()gai-jɨʔai	*(xíí)né-gai-yɯ́-ʔai {73,251,252}	Leipzig-Jakarta, Swadesh
167	Bora	nékʷa-jɯ́ɯ́ʔa 	SAND  	56	stone-grains		74	*n()gai-jɨʔai		Leipzig-Jakarta, Swadesh
168	Muinane	híínɨgai-jɨʔai 	SAND  	56		Note = 251 	74	*n()gai-jɨʔai		Leipzig-Jakarta, Swadesh
169	PBoM	ha	HOUSE  	57			75	*ha	*iiʔ-xa, *káamée-xa, *(bááe)-xa	Leipzig-Jakarta
170	Bora	haá	HOUSE  	57			75	*ha		Leipzig-Jakarta
171	Muinane	íí-ha 	HOUSE  	57	3-house 		75	*ha		Leipzig-Jakarta
172	PBoM	gooʔu-ga	DOORWAY 	58			77	*gooʔu-ga	*gééʔo-ga, (bágɨ́gaʔéxɯ)	
173	Bora	ʧééʔo-kʷa 	DOORWAY 	58	?-cl:plank		77	*gooʔu-ga		
174	Muinane	gúʔú-ga 	DOORWAY 	58			77	*gooʔu-ga		
175	PBoM	ikka-ga	SEAT,STOOL 	59			78	*ikka-ga	*íkka-ga, (akɯ́ɯ́βe-ga)	
176	Bora	íhhʲa-kʷa 	SEAT,STOOL 	59	be-cl:plank		78	*ikka-ga		
177	Muinane	íkka-ga 	SEAT,STOOL 	59			78	*ikka-ga		
178	PBoM	kɨga-	MAT 	60			79	*kɨga-	*kɯgá-(taxɨ), *kɯgá-(íʔkɯ), (ínébaxɨ), (ɨ́ɨ́kaxɨ)	
179	Bora	kʰɯkʷá-íʔkʰʲɯ 	MAT 	60	sleep-cl:frame		79	*kɨga-		
180	Muinane	kɨ́ga-tahe 	MAT 	60	sleep-? 	Note = 81,232,280 	79	*kɨga-		
181	PBoM	gaaiba	HAMMOCK 	61			80	*gaaiba	*gaáí-ba	
182	Bora	kʷaápʲa	HAMMOCK 	61			80	*gaaiba		
183	Muinane	gááíba 	HAMMOCK 	61			80	*gaaiba		
184	PBoM	kɨga-	BED 	62			81	*kɨga-	*kɯgá-ɨ́ɨxɨ, *kɯgá-(taxɨ), *kɯgá-(íʔkɯ) 	
185	Bora	kʰɯkʷá-íʔkʰʲɯ 	BED 	62	sleep-cl:frame		81	*kɨga-		
186	Muinane	kɨ́ga-tahe 	BED 	62		Note =79,232,280 	81	*kɨga-		
187	PBoM	giriʔ-ʤu	COOKING POT 	63			82	*giriʔ-ʤu	*gíri-ʔiǰo	
188	Bora	ʧíji-ʔʧo 	COOKING POT 	63	?-cl:pot		82	*giriʔ-ʤu		
189	Muinane	gírí-ʔiʤu 	COOKING POT 	63			82	*giriʔ-ʤu		
190	PBoM	gaikkuʔai	CULTIVATED CLEARING 	64			83	*gaikkuʔai	*gáíkko-ʔai	
191	Bora	kʷáhkʰʲoʔa	CULTIVATED CLEARING 	64			83	*gaikkuʔai		
192	Muinane	gáíkkuʔai 	CULTIVATED CLEARING 	64			83	*gaikkuʔai		
193	PBoM	kuumii	VILLAGE 	65			84	*kuumii	*kóomií	
194	Bora	kʰóómií	VILLAGE 	65			84	*kuumii		
195	Muinane	kúumi 	VILLAGE 	65			84	*kuumii		
196	PBoM	hɨɨ-	PATH,TRAIL  	66			85	*hɨɨ-	*xɯɯ́-()	Swadesh
197	Bora	hɯɯ́βa	PATH,TRAIL  	66			85	*hɨɨ-		Swadesh
198	Muinane	hɨ́ɨ́ʔai 	PATH,TRAIL  	66			85	*hɨɨ-		Swadesh
199	PBoM	ʦ()nɨkuʔu	FISH NET 	67			86	*ʦ()nɨkuʔu	*ʦ(ɨ́)nɯkóʔo {atarraya}, *(pó)-kóʔo	
200	Bora	ʦʰɨ́nɯkʰóóʔo	FISH NET 	67			86	*ʦ()nɨkuʔu		
201	Muinane	sínɨkuʔu 	FISH NET 	67			86	*ʦ()nɨkuʔu		
202	PBoM	piikkɨ-gai	FISH HOOK 	68			87	*piikkɨ-gai	*pííkkɯ-gai	
203	Bora	pʰííhʲhɯ-kʷa 	FISH HOOK 	68	fishing-cl:plank		87	*piikkɨ-gai		
204	Muinane	ɸííkkɨ́-gai 	FISH HOOK 	68			87	*piikkɨ-gai		
205	PBoM	hɨgaa-he	STEEL AXE 	69			88	*hɨgaa-he	*xɯ́gaá-xɨ	
206	Bora	ɯ́kʷaá-hɨ 	STEEL AXE 	69	stone-cl:flat		88	*hɨgaa-he		
207	Muinane	hɨ́gáá-he 	STEEL AXE 	69		Note =382 	88	*hɨgaa-he		
208	PBoM	n()ʦ()-ga-	KNIFE 	70			89	*n()ʦ()-ga-	*(mɨ́ɨ́(y)oʔo), *n(ɨɨ)ʦ(ɯ́)ga-(gayɯ)	
209	Bora	nɨɨʦʰɯ́-kʷa 	KNIFE 	70	?-cl:plank		89	*n()ʦ()-ga-		
210	Muinane	níísú-ga 	KNIFE 	70		Note =383 	89	*n()ʦ()-ga-		
211	PBoM	meeno	CANOE 	71			90	*meeno	*mɨɨ́ne-(ga)	
212	Bora	mɨɨ́ne	CANOE 	71			90	*meeno		
213	Muinane	mééne-ga 	CANOE 	71	canoe-cl:plank 		90	*meeno		
214	PBoM	buʔudu-ga	PADDLE 	72			91	*buʔudu-ga	*boʔódó-ga	
215	Bora	poʔtó-kʷa 	PADDLE 	72	row-cl:plank		91	*buʔudu-ga		
216	Muinane	búʔúdú-ga 	PADDLE 	72	row-cl:plank 		91	*buʔudu-ga		
217	PBoM	gai-ʔuɨ	CLUB 	73			92	*gai-ʔuɨ	*gáíʔoóɯ(daaʔɨ)	
218	Bora	kʷá-ʔʲoóɯ 	CLUB 	73	?-cl		92	*gai-ʔuɨ		
219	Muinane	gáí-ʔuɨdaaʔe 	CLUB 	73	?-cl 		92	*gai-ʔuɨ		
220	PBoM	aamɨ-	SPEAR 	74			93	*aamɨ-	*aámɯ-(ba), (káβaákko)	
221	Bora	aamɯ́-pa 	SPEAR 	74	hit-cl		93	*aamɨ-		
222	Muinane	áámɨ-ga 	SPEAR 	74	hit-cl:plank 		93	*aamɨ-		
223	PBoM	tɨɨbu-ga	BOW 	75			94	*tɨɨbu-ga	*tɯɯbó-ga {214}	
224	Bora	tʰɯpóó-kʷa 	BOW 	75	shoot-cl:plank		94	*tɨɨbu-ga		
225	Muinane	tɨɨbú-ga 	BOW 	75		Note =95 	94	*tɨɨbu-ga		
226	PBoM	tɨɨbu-	ARROW 	76			95	*tɨɨbu-	*gáínɯɯ́-ga, *tɯɯbó-(ga), (pɨ́gaɯ)	
227	Bora	tʰɯpóó-kʰo 	ARROW 	76	shoot-cl:pointed		95	*tɨɨbu-		
228	Muinane	tɨɨbú-ga 	ARROW 	76	shoot-cl:plank 	Note =94 	95	*tɨɨbu-		
229	PBoM	giʦʦɨ-hɨ	BLOWGUN 	77			96	*giʦʦɨ-hɨ	*gitʦɯ́-xɯ, *(togií)-xɯ, *(toǰií)-xɯ	
230	Bora	ʧihʧʰɯ́-hɯ 	BLOWGUN 	77	blow-cl:tube		96	*giʦʦɨ-hɨ		
231	Muinane	gisɨ́-hɨ 	BLOWGUN 	77			96	*giʦʦɨ-hɨ		
232	PBoM	tɨpai-ʔuu()	PUMA 	78			99	*tɨpai-ʔuu()	(xɯ́kko), *tɯ́páíʔoó(ɯ)	
233	Bora	tʰɯ́ɯ́pʰá-ʔʲoóɯ 	PUMA 	78	red-jaguar?		99	*tɨpai-ʔuu()		
234	Muinane	tɨ́ɸai-ʔui 	PUMA 	78	red-jaguar 		99	*tɨpai-ʔuu()		
235	PBoM	gooɨ	ARMADILLO 	79			100	*gooɨ	*geéɯ, (dóótoɯ́ʔaamɨ́ne), (káápɨ́naɯ)	
236	Bora	ʧeéɯ	ARMADILLO 	79			100	*gooɨ		
237	Muinane	góóɨ 	ARMADILLO 	79			100	*gooɨ		
238	PBoM	ʔuuʔi	DOG  	80			101	*ʔuuʔi	(xɯ́kko), (ooʔííbe) 	Leipzig-Jakarta, Swadesh
239	Bora	ooʔíí-pʲe 	DOG  	80	jaguar-masc.sg		101	*ʔuuʔi		Leipzig-Jakarta, Swadesh
240	Muinane	-ʔui 	DOG  	80			101	*ʔuuʔi		Leipzig-Jakarta, Swadesh
241	PBoM	niiβɨ-gai	RED DEER 	81			102	*niiβɨ-gai	*níiβi-gai, *xiíbai	
242	Bora	nííβɯ-kʷa 	RED DEER 	81	deer-cl		102	*niiβɨ-gai		
243	Muinane	níiβɨ-gai 	RED DEER 	81			102	*niiβɨ-gai		
244	PBoM	kikiih()	BAT 	82			103	*kikiih()	*kíkiíxe	
245	Bora	kʰíkʰiíhʲe	BAT 	82			103	*kikiih()		
246	Muinane	kíkihe 	BAT 	82			103	*kikiih()		
247	PBoM	ʦukku	OTTER 	83			104	*ʦukku	*ʦokko	
248	Bora	ʦʰohkʰo	OTTER 	83			104	*ʦukku		
249	Muinane	súkku 	OTTER 	83			104	*ʦukku		
