ID	DOCULECT	FORM	CONCEPT	COGID	MORPHEMES	NOTE	PROTOSET	PROTOFORM	APBM	BASICVOCABULARY
1	PBoM	nehe	TONGUE  	1			1	*nehe	*(mé)- ʔnɨ́xɨ-()	Leipzig-Jakarta, Swadesh
2	Bora	nɨ́ɨ́hɨ-kʷa 	TONGUE  	1	lick-cl:plank		1	*nehe		Leipzig-Jakarta, Swadesh
3	Muinane	néhe-ba 	TONGUE  	1			1	*nehe		Leipzig-Jakarta, Swadesh
4	PBoM	i-hɨ	MOUTH  	2			2	*i-hɨ	*íiʔ-xɯ {?-mouth}	Leipzig-Jakarta, Swadesh
5	Bora	íʔ-hʲɯɯ́ 	MOUTH  	2	3.sg-cl:tube		2	*i-hɨ		Leipzig-Jakarta, Swadesh
6	Muinane	íi-hɨ 	MOUTH  	2			2	*i-hɨ		Leipzig-Jakarta, Swadesh
7	PBoM	hɨni-ba	LIP 	3			3	*hɨni-ba	*(mé)-xɯ́-niba {mouth-?}	
8	Bora	ɯ́ni-pa 	LIP 	3	spit-cl		3	*hɨni-ba		
9	Muinane	hɨ́niba 	LIP 	3			3	*hɨni-ba		
10	PBoM	iʔgai	TOOTH  	4			4	*iʔgai	*ííʔ-gáí-neé {tooth-finger-?,23}, *(mé)-ííʔgá(xɨɨ́)	Leipzig-Jakarta, Swadesh
11	Bora	íʔkʷáhɨɨ́ 	TOOTH  	4	3-?cl:plank?		4	*iʔgai		Leipzig-Jakarta, Swadesh
12	Muinane	íígai 	TOOTH  	4			4	*iʔgai		Leipzig-Jakarta, Swadesh
13	PBoM	tɨhɨ-ʔu	NOSE  	5			5	*tɨhɨ-ʔu	*tɯ́xɯ-ʔ(exɯ)	Leipzig-Jakarta, Swadesh
14	Bora	tʰɯ́-hɯ-ʔo 	NOSE  	5	smell-?cl:tube?-cl:oblong		5	*tɨhɨ-ʔu		Leipzig-Jakarta, Swadesh
15	Muinane	tɨ́hɨ-ʔu 	NOSE  	5			5	*tɨhɨ-ʔu		Leipzig-Jakarta, Swadesh
16	PBoM	aʤɨ-ɨ	EYE  	6			6	*aʤɨ-ɨ	*(me)-ʔááǰɯɯ	Leipzig-Jakarta, Swadesh
17	Bora	ʔáʧɯ-ɯ 	EYE  	6	above-cl:round		6	*aʤɨ-ɨ		Leipzig-Jakarta, Swadesh
18	Muinane	ááʤɨ-ɨ 	EYE  	6			6	*aʤɨ-ɨ		Leipzig-Jakarta, Swadesh
19	PBoM	nɨ()-meeʔu	EAR  	7			7	*nɨ()-meeʔu	*nɯ́xɯ-mɨɨʔo	Leipzig-Jakarta, Swadesh
20	Bora	nɯ́ɯ́-mɨʔo 	EAR  	7	hear?-cl:skin		7	*nɨ()-meeʔu		Leipzig-Jakarta, Swadesh
21	Muinane	nɨ́-hɨ-meeʔu 	EAR  	7	hear?-?-cl:tube?-cl:skin 		7	*nɨ()-meeʔu		Leipzig-Jakarta, Swadesh
22	PBoM	niga-ɨ	HEAD  	8			8	*niga-ɨ	*nígaɯ	Swadesh
23	Bora	nííkʷa-ɯ 	HEAD  	8	head-cl:round		8	*niga-ɨ		Swadesh
24	Muinane	níga-ɨ 	HEAD  	8			8	*niga-ɨ		Swadesh
25	PBoM	ɨme-ku	FOREHEAD 	9			9	*ɨme-ku	*ɯ́mɨko	
26	Bora	ʔɯ́mɨ-kʰo 	FOREHEAD 	9	face-cl		9	*ɨme-ku		
27	Muinane	ɨ́me-ku 	FOREHEAD 	9			9	*ɨme-ku		
28	PBoM	-hee-	HAIR  	10			10	*-hee-	*nígaɯ-xɨɨne {head-hair, 8,243}, *nígaɯ-(ko)	Leipzig-Jakarta, Swadesh
29	Bora	ɨʔ-hɨne 	HAIR  	10	3.sg-hair-pl		10	*-hee-		Leipzig-Jakarta, Swadesh
30	Muinane	nígaɨ-hee-ne 	HAIR  	10	head-hair-pl 	see 243,270,316 	10	*-hee-		Leipzig-Jakarta, Swadesh
31	PBoM	hɨkk()	BEARD 	11			12	*hɨkk()	*xɯ́kk(e) ʔ(ai)	
32	Bora	ɯ́hkʰaʔe	BEARD 	11			12	*hɨkk()		
33	Muinane	hɨ́kkoʔai 	BEARD 	11			12	*hɨkk()		
34	PBoM	ppeeɨ-he	CHEST 	12			14	*ppeeɨ-he	*(mé)-ppɨ́ɨɯ-xɨ {chest-flat,61}, *(xɨ́ɨbɯɯga, kɯ́ɯdɯɯ) mɨ́ɨ(kko)ʔo, (…)	
35	Bora	hpʰɨ́ɯ-hɨ 	CHEST 	12	?-cl:flat		14	*ppeeɨ-he		
36	Muinane	ɸéejɨ-he 	CHEST 	12			14	*ppeeɨ-he		
37	PBoM	mɨppaino	WOMAN’S BREAST  	13			15	*mɨppaino	*(mé)-mɯ́ppaine	Leipzig-Jakarta, Swadesh
38	Bora	mɯhpʰáɲe	WOMAN’S BREAST  	13			15	*mɨppaino		Leipzig-Jakarta, Swadesh
39	Muinane	mɨ́ɸaɲo 	WOMAN’S BREAST  	13			15	*mɨppaino		Leipzig-Jakarta, Swadesh
40	PBoM	iiʔba	ABDOMEN 	14			16	*iiʔba	*(áá)-mɨ́ɨʔo {14}, *(mé)-íiʔbá(ɯ) {244,245,272}	
41	Bora	íʔpá-ɯ 	ABDOMEN 	14	belly-cl:round		16	*iiʔba		
42	Muinane	ííba 	ABDOMEN 	14		Note =244,245,272 	16	*iiʔba		
43	PBoM	hɨhe-ba	SHOULDER 	15			18	*hɨhe-ba	*(mé)-xɯ́xɨ-ba(ɯ)	
44	Bora	ɯ́hɨ-pa 	SHOULDER 	15	?-cl		18	*hɨhe-ba		
45	Muinane	hɨ́he-baɨ 	SHOULDER 	15			18	*hɨhe-ba		
