ID,Name,Concepticon_ID,Concepticon_Gloss
1_tongue,tongue,1205,TONGUE
2_mouth,mouth,674,MOUTH
3_lip,lip,478,LIP
4_tooth,tooth,1380,TOOTH
5_nose,nose,1221,NOSE
6_eye,eye,1248,EYE
7_ear,ear,1247,EAR
8_head,head,1256,HEAD
9_forehead,forehead,123,FOREHEAD
10_hair,hair,1040,HAIR
11_beard,beard,678,BEARD
12_chest,chest,1592,CHEST
13_womansbreast,woman’s breast,1402,BREAST
14_abdomen,abdomen,1251,BELLY
15_shoulder,shoulder,1482,SHOULDER
16_arm,arm,1673,ARM
17_elbow,elbow,981,ELBOW
18_hand,hand,1277,HAND
19_finger,finger,1303,FINGER
20_fingernail,fingernail,1258,FINGERNAIL
21_knee,knee,1371,KNEE
22_foot,foot,1301,FOOT
23_toe,toe,1389,TOE
24_skin,skin,763,SKIN
25_bone,bone,1394,BONE
27_heart,heart,1223,HEART
28_lungs,lungs,688,LUNG
29_man,man,1554,MAN
30_woman,woman,962,WOMAN
31_people,people,789,PEOPLE
32_husband,husband,1200,HUSBAND
33_wife,wife,1199,WIFE
34_father,father,1217,FATHER
35_mother,mother,1216,MOTHER
36_babyinfant,"baby,infant",1289,BABY
37_oldman,old man,406,OLD MAN
38_water,water,948,WATER
39_riverbigriver,"river,big river",666,RIVER
40_swamp,swamp,1145,SWAMP
41_fire,fire,221,FIRE
42_ash,ash,646,ASH
43_charcoal,charcoal,1188,CHARCOAL
44_firewood,firewood,10,FIREWOOD
45_sky,sky,1732,SKY
46_rain,rain,658,RAIN (PRECIPITATION)
47_sun,sun,1343,SUN
48_moon,moon,1313,MOON
49_star,star,1430,STAR
50_day,day,1225,DAY (NOT NIGHT)
51_night,night,1233,NIGHT
52_thunder,thunder,1150,THUNDER
53_rainbow,rainbow,1733,RAINBOW
54_earth,earth,1228,EARTH (SOIL)
55_sand,sand,671,SAND
56_house,house,1252,HOUSE
57_doorway,doorway,1567,DOOR
58_seatstool,"seat,stool",2058,STOOL
59_mat,mat,195,MAT
60_hammock,hammock,2019,HAMMOCK
61_bed,bed,1663,BED
62_cookingpot,cooking pot,3653,COOKING POT
63_cultivatedclearing,cultivated clearing,212,FIELD
64_village,village,930,VILLAGE
65_pathtrail,"path,trail",2457,PATH OR ROAD
66_fishnet,fish net,388,FISHNET
67_fishhook,fish hook,1074,FISHHOOK
68_steelaxestoneaxe,"steel axe,stone axe",677,AXE
69_knife,knife,1352,KNIFE
70_canoe,canoe,1970,CANOE
71_paddle,paddle,234,PADDLE
72_club,club,1763,CLUB
73_spear,spear,945,SPEAR
74_bow,bow,994,BOW
75_arrow,arrow,977,ARROW
76_blowgun,blowgun,432,BLOWGUN
77_puma,puma,1891,PUMA
78_armadillo,armadillo,1885,ARMADILLO
79_dog,dog,2009,DOG
80_reddeer,red deer,3983,RED DEER
81_bat,bat,1793,BAT
82_otter,otter,15,OTTER
83_cebusmonkey,"cebus,monkey",439,CEBUS MONKEY
84_spidermonkey,spider monkey,434,SPIDER MONKEY
85_anteater,anteater,181,ANTEATER
86_paca,paca,316,PACA
87_crocodile,crocodile,1857,CROCODILE
88_iguana,iguana,1578,IGUANA
89_collaredpeccary,collared peccary,435,COLLARED PECCARY
90_whitelippedpeccary,white-lipped peccary,436,WHITE-LIPPED PECCARY
91_agouti,agouti,313,AGOUTI
92_rat,rat,1490,RAT
93_cat,cat,1208,CAT
94_mouse,mouse,1491,MOUSE
95_tail,tail,1220,TAIL
96_snake,snake,730,SNAKE
97_anacondawaterboa,"anaconda,water boa",896,ANACONDA (WATER BOA)
98_rattlesnake,rattlesnake,871,RATTLESNAKE
99_coralsnake,coral snake,2240,CORAL SNAKE
100_toad,toad,894,TOAD
101_hummingbird,hummingbird,1589,HUMMINGBIRD
102_macaw,macaw,1630,MACAW
103_toucan,toucan,308,TOUCAN
104_buzzard,buzzard,1865,BUZZARD
105_curassow,curassow,315,CURASSOW
106_guan,guan,437,GUAN
107_hen,hen,1514,HEN
108_piranha,piranha,317,PIRANHA
109_flea,flea,232,FLEA
110_louse,louse,1392,LOUSE
111_mosquito,mosquito,1509,MOSQUITO
112_termite,termite,883,TERMITE
113_ant,ant,587,ANT
114_spider,spider,843,SPIDER
115_jiggertungapenetrans,jigger (tunga penetrans),438,CHIGGOE (JIGGER FLEA)
116_bush,bush,1683,BUSH
117_grasslandopengrassland,"grassland,open grassland",2819,GRASSLAND
118_hill,hill,614,HILL
119_tree,tree,906,TREE
120_leaftreeleaf,"leaf,tree leaf",628,LEAF
121_root,root,670,ROOT
122_seed,seed,714,SEED
123_stick,stick,1295,STICK
124_grass,grass,606,GRASS
125_cassavabread,cassava (bread),407,MANIOC BREAD
126_tobacco,tobacco,974,TOBACCO
127_cotton,cotton,1850,COTTON
128_gourd,gourd,411,GOURD
129_yam,yam,410,YAM
130_annatto,annatto,349,ACHIOTE
131_chilipepper,chili pepper,919,CHILI PEPPER
132_coca,coca,137,COCA
133_banisterium,banisterium,276,BANISTERIUM
134_plantain,plantain,399,PLANTAIN
135_chontapalm,chonta palm,440,CHONTA PALM
136_salt,salt,1274,SALT
137_chichaofpeachpalmfruits,chicha (of peach palm fruits),441,CHICHA
138_one,one,1493,ONE
139_two,two,1498,TWO
140_five,five,493,FIVE
141_first,first,728,FIRST
142_last,last,1529,LAST (FINAL)
143_drum,drum,908,DRUM
144_earornament,ear ornament,770,EARRING
145_mask,mask,2005,MASK
146_medicineman,medicine man,394,SHAMAN (FOLK HEALER)
147_chief,chief,301,CHIEFTAIN
148_i,i,1209,I
149_thou,thou,1215,THOU
150_he,he,1211,HE
151_she,she,1834,SHE
152_it,it,169,IT
153_we,we,1212,WE
154_ye,ye,1213,YOU
155_they,they,817,THEY
156_myhand,my hand,,
157_thyhand,thy hand,,
158_hishand,his hand,,
