ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ProtoSet,APBM,BasicVocabulary,Morphemes
PBoM-1_tongue-1,,PBoM,1_tongue,nehe,nehe,n e h e,,Seifart2015,1,,^ n e h e $,PBoM,*nehe,1,*(mé)- ʔnɨ́xɨ-(),"Leipzig-Jakarta, Swadesh",[]
Bora-1_tongue-1,,Bora,1_tongue,nɨ́ɨ́hɨ-kʷa,nɨ́ɨ́hɨ-kʷa,n !ɨ́/ɨ !ɨ́/ɨ h ɨ + kʷ a,,Seifart2015,1,,^ n ɨ́ ɨ́ h ɨ - kʷ a $,Bora,*nehe,1,,"Leipzig-Jakarta, Swadesh",['lick-cl:plank']
Muinane-1_tongue-1,,Muinane,1_tongue,néhe-ba,néhe-ba,n !é/e h e + b a,,Seifart2015,1,,^ n é h e - b a $,Muinane,*nehe,1,,"Leipzig-Jakarta, Swadesh",[]
PBoM-2_mouth-1,,PBoM,2_mouth,i-hɨ,i-hɨ,i + h ɨ,,Seifart2015,2,,^ i - h ɨ $,PBoM,*i-hɨ,2,*íiʔ-xɯ {?-mouth},"Leipzig-Jakarta, Swadesh",[]
Bora-2_mouth-1,,Bora,2_mouth,íʔ-hʲɯɯ́,íʔ-hʲɯɯ́,!í/i ʔ + hʲ ɯ !ɯ́/ɯ,,Seifart2015,2,,^ í ʔ - hʲ ɯ ɯ́ $,Bora,*i-hɨ,2,,"Leipzig-Jakarta, Swadesh",['3.sg-cl:tube']
Muinane-2_mouth-1,,Muinane,2_mouth,íi-hɨ,íi-hɨ,!í/i i + h ɨ,,Seifart2015,2,,^ í i - h ɨ $,Muinane,*i-hɨ,2,,"Leipzig-Jakarta, Swadesh",[]
PBoM-3_lip-1,,PBoM,3_lip,hɨni-ba,hɨni-ba,h ɨ n i + b a,,Seifart2015,3,,^ h ɨ n i - b a $,PBoM,*hɨni-ba,3,*(mé)-xɯ́-niba {mouth-?},,[]
Bora-3_lip-1,,Bora,3_lip,ɯ́ni-pa,ɯ́ni-pa,!ɯ́/ɯ n i + p a,,Seifart2015,3,,^ ɯ́ n i - p a $,Bora,*hɨni-ba,3,,,['spit-cl']
Muinane-3_lip-1,,Muinane,3_lip,hɨ́niba,hɨ́niba,h !ɨ́/ɨ n i b a,,Seifart2015,3,,^ h ɨ́ n i b a $,Muinane,*hɨni-ba,3,,,[]
PBoM-4_tooth-1,,PBoM,4_tooth,iʔgai,iʔgai,i ʔ g a i,,Seifart2015,4,,^ i ʔ g a i $,PBoM,*iʔgai,4,"*ííʔ-gáí-neé {tooth-finger-?,23}, *(mé)-ííʔgá(xɨɨ́)","Leipzig-Jakarta, Swadesh",[]
Bora-4_tooth-1,,Bora,4_tooth,íʔkʷáhɨɨ́,íʔkʷáhɨɨ́,!í/i ʔ kʷ !á/a h ɨ !ɨ́/ɨ,,Seifart2015,4,,^ í ʔ kʷ á h ɨ ɨ́ $,Bora,*iʔgai,4,,"Leipzig-Jakarta, Swadesh",['3-?cl:plank?']
Muinane-4_tooth-1,,Muinane,4_tooth,íígai,íígai,!í/i !í/i g a i,,Seifart2015,4,,^ í í g a i $,Muinane,*iʔgai,4,,"Leipzig-Jakarta, Swadesh",[]
PBoM-5_nose-1,,PBoM,5_nose,tɨhɨ-ʔu,tɨhɨ-ʔu,t ɨ h ɨ + ʔ u,,Seifart2015,5,,^ t ɨ h ɨ - ʔ u $,PBoM,*tɨhɨ-ʔu,5,*tɯ́xɯ-ʔ(exɯ),"Leipzig-Jakarta, Swadesh",[]
Bora-5_nose-1,,Bora,5_nose,tʰɯ́-hɯ-ʔo,tʰɯ́-hɯ-ʔo,tʰ !ɯ́/ɯ + h ɯ + ʔ o,,Seifart2015,5,,^ tʰ ɯ́ - h ɯ - ʔ o $,Bora,*tɨhɨ-ʔu,5,,"Leipzig-Jakarta, Swadesh",['smell-?cl:tube?-cl:oblong']
Muinane-5_nose-1,,Muinane,5_nose,tɨ́hɨ-ʔu,tɨ́hɨ-ʔu,t !ɨ́/ɨ h ɨ + ʔ u,,Seifart2015,5,,^ t ɨ́ h ɨ - ʔ u $,Muinane,*tɨhɨ-ʔu,5,,"Leipzig-Jakarta, Swadesh",[]
PBoM-6_eye-1,,PBoM,6_eye,aʤɨ-ɨ,aʤɨ-ɨ,a dʒ ɨ + ɨ,,Seifart2015,6,,^ a ʤ ɨ - ɨ $,PBoM,*aʤɨ-ɨ,6,*(me)-ʔááǰɯɯ,"Leipzig-Jakarta, Swadesh",[]
