ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ProtoSet,APBM,BasicVocabulary,Morphemes
Bora-6_eye-1,,Bora,6_eye,ʔáʧɯ-ɯ,ʔáʧɯ-ɯ,ʔ !á/a tʃ ɯ + ɯ,,Seifart2015,6,,^ ʔ á ʧ ɯ - ɯ $,Bora,*aʤɨ-ɨ,6,,"Leipzig-Jakarta, Swadesh",['above-cl:round']
Muinane-6_eye-1,,Muinane,6_eye,ááʤɨ-ɨ,ááʤɨ-ɨ,!á/a !á/a dʒ ɨ + ɨ,,Seifart2015,6,,^ á á ʤ ɨ - ɨ $,Muinane,*aʤɨ-ɨ,6,,"Leipzig-Jakarta, Swadesh",[]
PBoM-7_ear-1,,PBoM,7_ear,nɨ()-meeʔu,nɨ-meeʔu,n ɨ + m e e ʔ u,,Seifart2015,7,,^ n ɨ - m e e ʔ u $,PBoM,*nɨ()-meeʔu,7,*nɯ́xɯ-mɨɨʔo,"Leipzig-Jakarta, Swadesh",[]
Bora-7_ear-1,,Bora,7_ear,nɯ́ɯ́-mɨʔo,nɯ́ɯ́-mɨʔo,n !ɯ́/ɯ !ɯ́/ɯ + m ɨ ʔ o,,Seifart2015,7,,^ n ɯ́ ɯ́ - m ɨ ʔ o $,Bora,*nɨ()-meeʔu,7,,"Leipzig-Jakarta, Swadesh",['hear?-cl:skin']
Muinane-7_ear-1,,Muinane,7_ear,nɨ́-hɨ-meeʔu,nɨ́-hɨ-meeʔu,n !ɨ́/ɨ + h ɨ + m e e ʔ u,,Seifart2015,7,,^ n ɨ́ - h ɨ - m e e ʔ u $,Muinane,*nɨ()-meeʔu,7,,"Leipzig-Jakarta, Swadesh",['hear?-?-cl:tube?-cl:skin']
PBoM-8_head-1,,PBoM,8_head,niga-ɨ,niga-ɨ,n i g a + ɨ,,Seifart2015,8,,^ n i g a - ɨ $,PBoM,*niga-ɨ,8,*nígaɯ,Swadesh,[]
Bora-8_head-1,,Bora,8_head,nííkʷa-ɯ,nííkʷa-ɯ,n !í/i !í/i kʷ a + ɯ,,Seifart2015,8,,^ n í í kʷ a - ɯ $,Bora,*niga-ɨ,8,,Swadesh,['head-cl:round']
Muinane-8_head-1,,Muinane,8_head,níga-ɨ,níga-ɨ,n !í/i g a + ɨ,,Seifart2015,8,,^ n í g a - ɨ $,Muinane,*niga-ɨ,8,,Swadesh,[]
PBoM-9_forehead-1,,PBoM,9_forehead,ɨme-ku,ɨme-ku,ɨ m e + k u,,Seifart2015,9,,^ ɨ m e - k u $,PBoM,*ɨme-ku,9,*ɯ́mɨko,,[]
Bora-9_forehead-1,,Bora,9_forehead,ʔɯ́mɨ-kʰo,ʔɯ́mɨ-kʰo,ʔ !ɯ́/ɯ m ɨ + kʰ o,,Seifart2015,9,,^ ʔ ɯ́ m ɨ - kʰ o $,Bora,*ɨme-ku,9,,,['face-cl']
Muinane-9_forehead-1,,Muinane,9_forehead,ɨ́me-ku,ɨ́me-ku,!ɨ́/ɨ m e + k u,,Seifart2015,9,,^ ɨ́ m e - k u $,Muinane,*ɨme-ku,9,,,[]
PBoM-10_hair-1,,PBoM,10_hair,-hee-,-hee-,+ h e e +,,Seifart2015,10,,^ - h e e - $,PBoM,*-hee-,10,"*nígaɯ-xɨɨne {head-hair, 8,243}, *nígaɯ-(ko)","Leipzig-Jakarta, Swadesh",[]
Bora-10_hair-1,,Bora,10_hair,ɨʔ-hɨne,ɨʔ-hɨne,ɨ ʔ + h ɨ n e,,Seifart2015,10,,^ ɨ ʔ - h ɨ n e $,Bora,*-hee-,10,,"Leipzig-Jakarta, Swadesh",['3.sg-hair-pl']
Muinane-10_hair-1,,Muinane,10_hair,nígaɨ-hee-ne,nígaɨ-hee-ne,n !í/i g a ɨ + h e e + n e,"see 243,270,316",Seifart2015,10,,^ n í g a ɨ - h e e - n e $,Muinane,*-hee-,10,,"Leipzig-Jakarta, Swadesh",['head-hair-pl']
PBoM-11_beard-1,,PBoM,11_beard,hɨkk(),hɨkk,h ɨ k k,,Seifart2015,11,,^ h ɨ k k $,PBoM,*hɨkk(),12,*xɯ́kk(e) ʔ(ai),,[]
Bora-11_beard-1,,Bora,11_beard,ɯ́hkʰaʔe,ɯ́hkʰaʔe,!ɯ́/ɯ h kʰ a ʔ e,,Seifart2015,11,,^ ɯ́ h kʰ a ʔ e $,Bora,*hɨkk(),12,,,[]
Muinane-11_beard-1,,Muinane,11_beard,hɨ́kkoʔai,hɨ́kkoʔai,h !ɨ́/ɨ k k o ʔ a i,,Seifart2015,11,,^ h ɨ́ k k o ʔ a i $,Muinane,*hɨkk(),12,,,[]
PBoM-12_chest-1,,PBoM,12_chest,ppeeɨ-he,ppeeɨ-he,p p e e ɨ + h e,,Seifart2015,12,,^ p p e e ɨ - h e $,PBoM,*ppeeɨ-he,14,"*(mé)-ppɨ́ɨɯ-xɨ {chest-flat,61}, *(xɨ́ɨbɯɯga, kɯ́ɯdɯɯ) mɨ́ɨ(kko)ʔo, (…)",,[]
Bora-12_chest-1,,Bora,12_chest,hpʰɨ́ɯ-hɨ,hpʰɨ́ɯ-hɨ,h pʰ !ɨ́/ɨ ɯ + h ɨ,,Seifart2015,12,,^ h pʰ ɨ́ ɯ - h ɨ $,Bora,*ppeeɨ-he,14,,,['?-cl:flat']
Muinane-12_chest-1,,Muinane,12_chest,ɸéejɨ-he,ɸéejɨ-he,ɸ !é/e e j ɨ + h e,,Seifart2015,12,,^ ɸ é e j ɨ - h e $,Muinane,*ppeeɨ-he,14,,,[]
PBoM-13_womansbreast-1,,PBoM,13_womansbreast,mɨppaino,mɨppaino,m ɨ p p a i n o,,Seifart2015,13,,^ m ɨ p p a i n o $,PBoM,*mɨppaino,15,*(mé)-mɯ́ppaine,"Leipzig-Jakarta, Swadesh",[]
Bora-13_womansbreast-1,,Bora,13_womansbreast,mɯhpʰáɲe,mɯhpʰáɲe,m ɯ h pʰ !á/a ɲ e,,Seifart2015,13,,^ m ɯ h pʰ á ɲ e $,Bora,*mɨppaino,15,,"Leipzig-Jakarta, Swadesh",[]
Muinane-13_womansbreast-1,,Muinane,13_womansbreast,mɨ́ɸaɲo,mɨ́ɸaɲo,m !ɨ́/ɨ ɸ a ɲ o,,Seifart2015,13,,^ m ɨ́ ɸ a ɲ o $,Muinane,*mɨppaino,15,,"Leipzig-Jakarta, Swadesh",[]
PBoM-14_abdomen-1,,PBoM,14_abdomen,iiʔba,iiʔba,i i ʔ b a,,Seifart2015,14,,^ i i ʔ b a $,PBoM,*iiʔba,16,"*(áá)-mɨ́ɨʔo {14}, *(mé)-íiʔbá(ɯ) {244,245,272}",,[]
Bora-14_abdomen-1,,Bora,14_abdomen,íʔpá-ɯ,íʔpá-ɯ,!í/i ʔ p !á/a + ɯ,,Seifart2015,14,,^ í ʔ p á - ɯ $,Bora,*iiʔba,16,,,['belly-cl:round']
Muinane-14_abdomen-1,,Muinane,14_abdomen,ííba,ííba,!í/i !í/i b a,"Note =244,245,272",Seifart2015,14,,^ í í b a $,Muinane,*iiʔba,16,,,[]
PBoM-15_shoulder-1,,PBoM,15_shoulder,hɨhe-ba,hɨhe-ba,h ɨ h e + b a,,Seifart2015,15,,^ h ɨ h e - b a $,PBoM,*hɨhe-ba,18,*(mé)-xɯ́xɨ-ba(ɯ),,[]
Bora-15_shoulder-1,,Bora,15_shoulder,ɯ́hɨ-pa,ɯ́hɨ-pa,!ɯ́/ɯ h ɨ + p a,,Seifart2015,15,,^ ɯ́ h ɨ - p a $,Bora,*hɨhe-ba,18,,,['?-cl']
Muinane-15_shoulder-1,,Muinane,15_shoulder,hɨ́he-baɨ,hɨ́he-baɨ,h !ɨ́/ɨ h e + b a ɨ,,Seifart2015,15,,^ h ɨ́ h e - b a ɨ $,Muinane,*hɨhe-ba,18,,,[]
PBoM-16_arm-1,,PBoM,16_arm,nokkɨ-gai,nokkɨ-gai,n o k k ɨ + g a i,,Seifart2015,16,,^ n o k k ɨ - g a i $,PBoM,*nokkɨ-gai,19,*(mé)-nékkɯ-gai,Leipzig-Jakarta,[]
Bora-16_arm-1,,Bora,16_arm,néhhɯ-kʷa,néhhɯ-kʷa,n !é/e h h ɯ + kʷ a,,Seifart2015,16,,^ n é h h ɯ - kʷ a $,Bora,*nokkɨ-gai,19,,Leipzig-Jakarta,['side-cl:plank']
Muinane-16_arm-1,,Muinane,16_arm,nókkɨ-gai,nókkɨ-gai,n !ó/o k k ɨ + g a i,,Seifart2015,16,,^ n ó k k ɨ - g a i $,Muinane,*nokkɨ-gai,19,,Leipzig-Jakarta,[]
PBoM-17_elbow-1,,PBoM,17_elbow,()o()i,oi,o i,,Seifart2015,17,,^ o i $,PBoM,*()o()i,21,"(méniko), (me-némiɯ)",,[]
Bora-17_elbow-1,,Bora,17_elbow,némi-ɯ,némi-ɯ,n !é/e m i + ɯ,,Seifart2015,17,,^ n é m i - ɯ $,Bora,*()o()i,21,,,['?-cl:round']
Muinane-17_elbow-1,,Muinane,17_elbow,méni-ku,méni-ku,m !é/e n i + k u,,Seifart2015,17,,^ m é n i - k u $,Muinane,*()o()i,21,,,['?-cl:pointed']
PBoM-18_hand-1,,PBoM,18_hand,ʔutʦe,ʔutʦe,ʔ u t ts e,,Seifart2015,18,,^ ʔ u t ʦ e $,PBoM,*ʔutʦe,22,*(mé)-ʔótʦɨɨ́,Swadesh,[]
Bora-18_hand-1,,Bora,18_hand,ʔóhʦʰɨɨ́,ʔóhʦʰɨɨ́,ʔ !ó/o h tsʰ ɨ !ɨ́/ɨ,,Seifart2015,18,,^ ʔ ó h ʦʰ ɨ ɨ́ $,Bora,*ʔutʦe,22,,Swadesh,[]
Muinane-18_hand-1,,Muinane,18_hand,úse,úse,!ú/u s e,,Seifart2015,18,,^ ú s e $,Muinane,*ʔutʦe,22,,Swadesh,[]
PBoM-19_finger-1,,PBoM,19_finger,ʔutʦe-gai,ʔutʦe-gai,ʔ u t ts e + g a i,,Seifart2015,19,,^ ʔ u t ʦ e - g a i $,PBoM,*ʔutʦe-gai,23,"*(mé)-ʔótʦɨ-gai {hand-finger,4,(11?),19,24,30,50,87}",,[]
Bora-19_finger-1,,Bora,19_finger,ʔóhʦʰɨ-kʷa,ʔóhʦʰɨ-kʷa,ʔ !ó/o h tsʰ ɨ + kʷ a,,Seifart2015,19,,^ ʔ ó h ʦʰ ɨ - kʷ a $,Bora,*ʔutʦe-gai,23,,,['hand-cl:plank']
Muinane-19_finger-1,,Muinane,19_finger,úse-gai,úse-gai,!ú/u s e + g a i,,Seifart2015,19,,^ ú s e - g a i $,Muinane,*ʔutʦe-gai,23,,,[]
PBoM-20_fingernail-1,,PBoM,20_fingernail,ʔutʦe-gai-meeʔu,ʔutʦe-gai-meeʔu,ʔ u t ts e + g a i + m e e ʔ u,,Seifart2015,20,,^ ʔ u t ʦ e - g a i - m e e ʔ u $,PBoM,*ʔutʦe-gai-meeʔu,24,*(mé)- ʔótʦɨ-gai-mɨ́ɨʔo,,[]
Bora-20_fingernail-1,,Bora,20_fingernail,ʔóhʦʰɨ-kʷa-mɨ́ɨ́ʔo,ʔóhʦʰɨ-kʷa-mɨ́ɨ́ʔo,ʔ !ó/o h tsʰ ɨ + kʷ a + m !ɨ́/ɨ !ɨ́/ɨ ʔ o,,Seifart2015,20,,^ ʔ ó h ʦʰ ɨ - kʷ a - m ɨ́ ɨ́ ʔ o $,Bora,*ʔutʦe-gai-meeʔu,24,,,['hand-cl:plank-cl:skin']
Muinane-20_fingernail-1,,Muinane,20_fingernail,úse-gai-méeʔu,úse-gai-méeʔu,!ú/u s e + g a i + m !é/e e ʔ u,,Seifart2015,20,,^ ú s e - g a i - m é e ʔ u $,Muinane,*ʔutʦe-gai-meeʔu,24,,,[]
PBoM-21_knee-1,,PBoM,21_knee,memu,memu,m e m u,,Seifart2015,21,,^ m e m u $,PBoM,*memu,27,*(mé)-mɨ́mo-(),"Leipzig-Jakarta, Swadesh",[]
Bora-21_knee-1,,Bora,21_knee,mɨ́mo-kʰo,mɨ́mo-kʰo,m !ɨ́/ɨ m o + kʰ o,,Seifart2015,21,,^ m ɨ́ m o - kʰ o $,Bora,*memu,27,,"Leipzig-Jakarta, Swadesh",['knee-cl:pointed']
Muinane-21_knee-1,,Muinane,21_knee,mému-ba,mému-ba,m !é/e m u + b a,,Seifart2015,21,,^ m é m u - b a $,Muinane,*memu,27,,"Leipzig-Jakarta, Swadesh",['knee-cl']
PBoM-22_foot-1,,PBoM,22_foot,ttɨʔaai,ttɨʔaai,t t ɨ ʔ a a i,,Seifart2015,22,,^ t t ɨ ʔ a a i $,PBoM,*ttɨʔaai,29,*(mé)-ttɯ́-ʔaáí,Swadesh,[]
Bora-22_foot-1,,Bora,22_foot,htʰɯ́-ʔaá,htʰɯ́-ʔaá,h tʰ !ɯ́/ɯ + ʔ a !á/a,,Seifart2015,22,,^ h tʰ ɯ́ - ʔ a á $,Bora,*ttɨʔaai,29,,Swadesh,[]
Muinane-22_foot-1,,Muinane,22_foot,tɨ́-ʔai,tɨ́-ʔai,t !ɨ́/ɨ + ʔ a i,,Seifart2015,22,,^ t ɨ́ - ʔ a i $,Muinane,*ttɨʔaai,29,,Swadesh,[]
PBoM-23_toe-1,,PBoM,23_toe,ttɨ-gaai,ttɨ-gaai,t t ɨ + g a a i,,Seifart2015,23,,^ t t ɨ - g a a i $,PBoM,*ttɨ-gaai,30,"*(mé)-ttɯ́-gaái {foot-finger,23}",,[]
Bora-23_toe-1,,Bora,23_toe,htʰɯ́-kʷaá,htʰɯ́-kʷaá,h tʰ !ɯ́/ɯ + kʷ a !á/a,,Seifart2015,23,,^ h tʰ ɯ́ - kʷ a á $,Bora,*ttɨ-gaai,30,,,['foot-cl:plank']
Muinane-23_toe-1,,Muinane,23_toe,tɨ́-gai,tɨ́-gai,t !ɨ́/ɨ + g a i,,Seifart2015,23,,^ t ɨ́ - g a i $,Muinane,*ttɨ-gaai,30,,,[]
PBoM-24_skin-1,,PBoM,24_skin,meeʔo,meeʔo,m e e ʔ o,,Seifart2015,24,,^ m e e ʔ o $,PBoM,*meeʔo,31,*(iáábe) (mé)-ʔmɨ́ɨʔe(é),"Leipzig-Jakarta, Swadesh",[]
Bora-24_skin-1,,Bora,24_skin,mɨ́ɨ́ʔeé,mɨ́ɨ́ʔeé,m !ɨ́/ɨ !ɨ́/ɨ ʔ e !é/e,,Seifart2015,24,,^ m ɨ́ ɨ́ ʔ e é $,Bora,*meeʔo,31,,"Leipzig-Jakarta, Swadesh",[]
Muinane-24_skin-1,,Muinane,24_skin,méeʔe,méeʔe,m !é/e e ʔ e,,Seifart2015,24,,^ m é e ʔ e $,Muinane,*meeʔo,31,,"Leipzig-Jakarta, Swadesh",[]
PBoM-25_bone-1,,PBoM,25_bone,bakkɨ,bakkɨ,b a k k ɨ,,Seifart2015,25,,^ b a k k ɨ $,PBoM,*bakkɨ,32,*bákkɯɯ́,"Leipzig-Jakarta, Swadesh",[]
Bora-25_bone-1,,Bora,25_bone,páhkʰɯɯ́,páhkʰɯɯ́,p !á/a h kʰ ɯ !ɯ́/ɯ,,Seifart2015,25,,^ p á h kʰ ɯ ɯ́ $,Bora,*bakkɨ,32,,"Leipzig-Jakarta, Swadesh",[]
Muinane-25_bone-1,,Muinane,25_bone,bákkɨ,bákkɨ,b !á/a k k ɨ,,Seifart2015,25,,^ b á k k ɨ $,Muinane,*bakkɨ,32,,"Leipzig-Jakarta, Swadesh",[]
PBoM-205_blood-1,,PBoM,205_blood,tɨɨ,tɨɨ,t ɨ ɨ,,Seifart2015,26,,^ t ɨ ɨ $,PBoM,*tɨɨ,33,"*tɯ́ɯ́-(xéʔe), *tɯ́ɯ́-(ppaiko)","Leipzig-Jakarta, Swadesh",[]
Bora-205_blood-1,,Bora,205_blood,tʰɯ́-hpʰakʰʲo,tʰɯ́-hpʰakʰʲo,tʰ !ɯ́/ɯ + h pʰ a kʰʲ o,,Seifart2015,26,,^ tʰ ɯ́ - h pʰ a kʰʲ o $,Bora,*tɨɨ,33,,"Leipzig-Jakarta, Swadesh",['red-cl:liquid']
Muinane-205_blood-1,,Muinane,205_blood,tɨ́ɨ́-hóʔo,tɨ́ɨ́-hóʔo,t !ɨ́/ɨ !ɨ́/ɨ + h !ó/o ʔ o,,Seifart2015,26,,^ t ɨ́ ɨ́ - h ó ʔ o $,Muinane,*tɨɨ,33,,"Leipzig-Jakarta, Swadesh",['red-cl?']
PBoM-27_heart-1,,PBoM,27_heart,heebɨ-ɨ,heebɨ-ɨ,h e e b ɨ + ɨ,,Seifart2015,27,,^ h e e b ɨ - ɨ $,PBoM,*heebɨ-ɨ,34,"*(kɯ́ɯdɯɯ), *(mé)-xɨ́ɨbɯɯ",Swadesh,[]
Bora-27_heart-1,,Bora,27_heart,ɨ́ɨ́pɯ-ɯ,ɨ́ɨ́pɯ-ɯ,!ɨ́/ɨ !ɨ́/ɨ p ɯ + ɯ,,Seifart2015,27,,^ ɨ́ ɨ́ p ɯ - ɯ $,Bora,*heebɨ-ɨ,34,,Swadesh,['interior-cl:round']
Muinane-27_heart-1,,Muinane,27_heart,héebɨ-ɨ,héebɨ-ɨ,h !é/e e b ɨ + ɨ,,Seifart2015,27,,^ h é e b ɨ - ɨ $,Muinane,*heebɨ-ɨ,34,,Swadesh,[]
PBoM-28_lungs-1,,PBoM,28_lungs,βaβa-ga,βaβa-ga,β a β a + g a,,Seifart2015,28,,^ β a β a - g a $,PBoM,*βaβa-ga,35,"*βááʔβága, (xɯ́-giʦɯ-ba), (maráʔ-ba), (marááʔ-o)",,[]
Bora-28_lungs-1,,Bora,28_lungs,βaʔβá-kʷa,βaʔβá-kʷa,β a ʔ β !á/a + kʷ a,,Seifart2015,28,,^ β a ʔ β á - kʷ a $,Bora,*βaβa-ga,35,,,['?-cl:plank']
Muinane-28_lungs-1,,Muinane,28_lungs,βáaβa-ga,βáaβa-ga,β !á/a a β a + g a,,Seifart2015,28,,^ β á a β a - g a $,Muinane,*βaβa-ga,35,,,[]
PBoM-29_man-1,,PBoM,29_man,m()a-mɨnaa-ppi,ma-mɨnaa-ppi,m a + m ɨ n a a + p p i,,Seifart2015,29,,^ m a - m ɨ n a a - p p i $,PBoM,*m()a-mɨnaa-ppi,38,"*gai-ppi, *mɨ́ámɯ́náa-ppi {41}",Swadesh,[]
Bora-29_man-1,,Bora,29_man,mɨ́a-mɯ́náa-hpʰi,mɨ́a-mɯ́náa-hpʰi,m !ɨ́/ɨ a + m !ɯ́/ɯ n !á/a a + h pʰ i,,Seifart2015,29,,^ m ɨ́ a - m ɯ́ n á a - h pʰ i $,Bora,*m()a-mɨnaa-ppi,38,,Swadesh,['real-people-masc.sg']
Muinane-29_man-1,,Muinane,29_man,míjá-mɨnaa-ɸi,míjá-mɨnaa-ɸi,m !í/i j !á/a + m ɨ n a a + ɸ i,,Seifart2015,29,,^ m í j á - m ɨ n a a - ɸ i $,Muinane,*m()a-mɨnaa-ppi,38,,Swadesh,[]
PBoM-29_man-2,,PBoM,29_man,gai-ppi,gai-ppi,g a i + p p i,,Seifart2015,30,,^ g a i - p p i $,PBoM,*gai-ppi,39,"*gai-ppi, *ʦaa-ppi {one-male}",,[]
Bora-29_man-2,,Bora,29_man,kʷa-hpʰi,kʷa-hpʰi,kʷ a + h pʰ i,,Seifart2015,30,,^ kʷ a - h pʰ i $,Bora,*gai-ppi,39,,,['?-masc.sg']
Muinane-29_man-2,,Muinane,29_man,gáí-ɸi,gáí-ɸi,g !á/a !í/i + ɸ i,,Seifart2015,30,,^ g á í - ɸ i $,Muinane,*gai-ppi,39,,,[]
PBoM-30_woman-1,,PBoM,30_woman,gai-go,gai-go,g a i + g o,,Seifart2015,31,,^ g a i - g o $,PBoM,*gai-go,40,"*gai-ge, (mɨ́ámɯ́ná-ge) {41}",Swadesh,[]
Bora-30_woman-1,,Bora,30_woman,kʷa-ʧe,kʷa-ʧe,kʷ a + tʃ e,,Seifart2015,31,,^ kʷ a - ʧ e $,Bora,*gai-go,40,,Swadesh,['?-fem.sg']
Muinane-30_woman-1,,Muinane,30_woman,gáí-go,gáí-go,g !á/a !í/i + g o,,Seifart2015,31,,^ g á í - g o $,Muinane,*gai-go,40,,Swadesh,[]
PBoM-31_people-1,,PBoM,31_people,mia-mɨnaa,mia-mɨnaa,m i a + m ɨ n a a,,Seifart2015,32,,^ m i a - m ɨ n a a $,PBoM,*mia-mɨnaa,41,"*mɨ́amɯ́naa {38,40}",,[]
Bora-31_people-1,,Bora,31_people,mɨ́a-mɯ́naa,mɨ́a-mɯ́naa,m !ɨ́/ɨ a + m !ɯ́/ɯ n a a,,Seifart2015,32,,^ m ɨ́ a - m ɯ́ n a a $,Bora,*mia-mɨnaa,41,,,['real-people']
Muinane-31_people-1,,Muinane,31_people,míjá-mɨnaa,míjá-mɨnaa,m !í/i j !á/a + m ɨ n a a,,Seifart2015,32,,^ m í j á - m ɨ n a a $,Muinane,*mia-mɨnaa,41,,,[]
PBoM-32_husband-1,,PBoM,32_husband,tahe,tahe,t a h e,,Seifart2015,33,,^ t a h e $,PBoM,*tahe,42,"*taxɨ, *áí-táxɨɨ́ {my-husband}, *áíxɯɯ́",,[]
Bora-32_husband-1,,Bora,32_husband,tʰahɨ,tʰahɨ,tʰ a h ɨ,,Seifart2015,33,,^ tʰ a h ɨ $,Bora,*tahe,42,,,[]
Muinane-32_husband-1,,Muinane,32_husband,táhe,táhe,t !á/a h e,,Seifart2015,33,,^ t á h e $,Muinane,*tahe,42,,,[]
PBoM-33_wife-1,,PBoM,33_wife,taaba,taaba,t a a b a,,Seifart2015,34,,^ t a a b a $,PBoM,*taaba,43,"*taába, *ái-táabaá {my wife}, (mega)",,[]
Bora-33_wife-1,,Bora,33_wife,tʰaápa,tʰaápa,tʰ a !á/a p a,,Seifart2015,34,,^ tʰ a á p a $,Bora,*taaba,43,,,[]
Muinane-33_wife-1,,Muinane,33_wife,táaba,táaba,t !á/a a b a,,Seifart2015,34,,^ t á a b a $,Muinane,*taaba,43,,,[]
PBoM-34_father-1,,PBoM,34_father,"giʔiru,kaani",giʔiru,g i ʔ i r u,,Seifart2015,35,,^ g i ʔ i r u $,PBoM,"*giʔiru,kaani",44,"*giʔí-ro(bi), (kááni)",,[]
PBoM-34_father-2,,PBoM,34_father,"giʔiru,kaani",kaani,k a a n i,,Seifart2015,35,,^ k a a n i $,PBoM,"*giʔiru,kaani",44,"*giʔí-ro(bi), (kááni)",,[]
Bora-34_father-1,,Bora,34_father,"ʧiʔíjo, kʰaani",ʧiʔíjo,tʃ i ʔ !í/i j o,,Seifart2015,35,,^ ʧ i ʔ í j o $,Bora,"*giʔiru,kaani",44,,,[]
Bora-34_father-2,,Bora,34_father,"ʧiʔíjo, kʰaani",kʰaani,kʰ a a n i,,Seifart2015,35,,^ kʰ a a n i $,Bora,"*giʔiru,kaani",44,,,[]
Muinane-34_father-1,,Muinane,34_father,"gíʔírubi, kááni",gíʔírubi,g !í/i ʔ !í/i r u b i,,Seifart2015,35,,^ g í ʔ í r u b i $,Muinane,"*giʔiru,kaani",44,,,[]
